latitude,longitude,altitude(m),heading(deg),action
32.08548,34.7818,20.0,0.0,photo
32.085464,34.781912,21.1,30.0,photo
32.0854,34.782004,22.2,60.0,photo
32.0853,34.782047,23.3,90.0,photo
32.08519,34.782024,24.4,120.0,photo
32.085101,34.781935,25.6,150.0,photo
32.08506,34.7818,26.7,180.0,photo
32.085084,34.781653,27.8,210.0,photo
32.08517,34.781535,28.9,240.0,photo
32.0853,34.781482,30.0,270.0,photo
32.08544,34.781514,31.1,300.0,photo
32.085551,34.781629,32.2,330.0,photo
32.085599,34.7818,33.3,360.0,photo
32.085568,34.781983,34.4,390.0,photo
32.08546,34.782126,35.6,420.0,photo
32.0853,34.782189,36.7,450.0,photo
32.08513,34.782147,37.8,480.0,photo
32.084997,34.782006,38.9,510.0,photo
32.084941,34.7818,40.0,540.0,photo
32.08498,34.781582,41.1,570.0,photo
32.08511,34.781412,42.2,600.0,photo
32.0853,34.781341,43.3,630.0,photo
32.0855,34.781392,44.4,660.0,photo
32.085654,34.781558,45.6,690.0,photo
32.085719,34.7818,46.7,720.0,photo
32.085672,34.782053,47.8,750.0,photo
32.08552,34.782249,48.9,780.0,photo
32.0853,34.78233,50.0,810.0,photo
32.08507,34.782269,51.1,840.0,photo
32.084894,34.782077,52.2,870.0,photo
32.084821,34.7818,53.3,900.0,photo
32.084876,34.781511,54.4,930.0,photo
32.08505,34.78129,55.6,960.0,photo
32.0853,34.781199,56.7,990.0,photo
32.08556,34.781269,57.8,1020.0,photo
32.085758,34.781488,58.9,1050.0,photo
